Date,Close/Last,Volume,Open,High,Low
10/17/2025,$191.29,1981427,$192.075,$192.51,$188.16
10/16/2025,$191.47,3394739,$190.57,$194.08,$190.235
10/15/2025,$190.03,3353976,$185.92,$190.19,$185.755
10/14/2025,$186.51,4174977,$183.81,$186.52,$183.1316
10/13/2025,$183.20,3243051,$184.36,$186.07,$182.50
10/10/2025,$186.68,3154639,$186.77,$187.99,$184.01
10/09/2025,$185.32,2211084,$186.30,$186.51,$183.99
10/08/2025,$185.59,3329812,$186.71,$188.89,$183.7727
10/07/2025,$186.97,2741749,$186.26,$186.99,$183.945
10/06/2025,$185.57,2968081,$189.45,$189.45,$185.33
10/03/2025,$190.21,2863138,$191.00,$192.405,$189.455
10/02/2025,$191.17,2822385,$190.95,$193.21,$188.88
10/01/2025,$193.32,2960678,$192.28,$194.50,$192.105
09/30/2025,$192.32,3426976,$192.885,$193.795,$191.13
09/29/2025,$194.55,3314260,$194.56,$195.50,$192.31
09/26/2025,$194.27,2608327,$194.33,$195.45,$193.38
09/25/2025,$193.71,3022734,$194.43,$197.405,$193.14
09/24/2025,$192.93,2963774,$193.74,$195.56,$192.55
09/23/2025,$194.28,2774712,$193.42,$194.75,$192.72
09/22/2025,$193.21,3471492,$194.29,$196.54,$191.95
09/19/2025,$193.31,5329760,$193.55,$194.6369,$192.09
09/18/2025,$193.03,2368743,$195.23,$196.455,$192.23
09/17/2025,$197.22,3041947,$194.96,$199.1297,$194.4258
09/16/2025,$194.73,3253839,$192.00,$195.15,$191.48
09/15/2025,$192.50,3883694,$196.06,$196.7297,$188.55
09/12/2025,$195.08,3096567,$195.75,$196.55,$194.5925
09/11/2025,$196.55,2277439,$194.32,$197.085,$193.07
09/10/2025,$193.76,2539122,$194.01,$195.745,$193.32
09/09/2025,$194.60,3384046,$193.93,$194.78,$192.00
09/08/2025,$193.64,5376775,$194.38,$195.47,$189.01
09/05/2025,$198.32,4126180,$197.07,$199.40,$196.28
09/04/2025,$195.09,3523767,$197.92,$198.19,$193.05
09/03/2025,$196.26,3630866,$201.49,$202.80,$195.20
09/02/2025,$200.49,2601302,$202.60,$205.215,$198.75
08/29/2025,$203.85,2618104,$203.00,$203.86,$201.6819
08/28/2025,$202.56,2978276,$203.26,$204.4351,$201.71
08/27/2025,$203.27,3083647,$207.75,$208.03,$203.21
08/26/2025,$207.45,3538827,$209.10,$209.10,$204.55
08/25/2025,$211.12,1239066,$211.00,$211.915,$209.91
08/22/2025,$211.88,2343137,$210.90,$214.79,$210.25
08/21/2025,$209.73,1483376,$208.37,$211.00,$208.37
08/20/2025,$209.50,2217546,$208.49,$211.14,$207.68
08/19/2025,$206.65,1669449,$203.54,$206.83,$203.23
08/18/2025,$203.13,3227734,$206.60,$207.02,$202.66
08/15/2025,$206.12,2640464,$204.19,$208.21,$203.19
08/14/2025,$203.46,2636914,$203.20,$204.185,$200.79
08/13/2025,$204.15,2717887,$204.88,$205.31,$202.95
08/12/2025,$204.62,1757141,$206.15,$206.78,$203.22
08/11/2025,$206.08,2339198,$205.93,$207.88,$204.85
08/08/2025,$206.51,1727528,$210.33,$210.89,$205.8066
08/07/2025,$210.01,2025761,$208.92,$211.07,$208.00
08/06/2025,$208.90,1634081,$210.50,$211.5785,$208.50
08/05/2025,$210.05,1854859,$212.26,$212.785,$207.78
08/04/2025,$212.98,2804487,$211.36,$214.335,$211.00
08/01/2025,$212.10,3232199,$211.405,$217.39,$211.13
07/31/2025,$208.39,2774165,$207.22,$209.60,$205.71
07/30/2025,$208.74,3693319,$211.56,$215.08,$207.66
07/29/2025,$214.71,3704037,$219.00,$219.00,$211.80
07/28/2025,$224.21,2176277,$227.72,$229.07,$223.345
07/25/2025,$229.87,1031271,$230.62,$231.545,$228.25
07/24/2025,$231.24,2034743,$230.72,$234.33,$228.48
07/23/2025,$230.18,1839691,$230.94,$232.47,$229.59
07/22/2025,$232.35,2274580,$229.59,$232.55,$227.96
07/21/2025,$226.50,1458806,$226.00,$227.75,$225.36
07/18/2025,$224.77,1253823,$223.42,$225.77,$223.17
07/17/2025,$223.04,1522498,$222.81,$224.2831,$221.83
07/16/2025,$223.36,2426480,$219.66,$223.44,$219.10
07/15/2025,$218.92,1754318,$221.25,$221.30,$217.98
07/14/2025,$221.78,1475875,$218.95,$222.30,$218.865
07/11/2025,$219.24,1358562,$220.08,$221.41,$217.5086
07/10/2025,$221.01,1459193,$220.49,$223.68,$220.1979
07/09/2025,$221.83,1712871,$219.71,$222.00,$217.37
07/08/2025,$220.70,2022636,$218.02,$221.16,$217.63
07/07/2025,$220.02,1894952,$222.30,$222.98,$218.05
07/03/2025,$221.75,1369114,$222.48,$223.156,$217.90
07/02/2025,$222.83,1938032,$222.82,$224.96,$222.5428
07/01/2025,$224.47,2567656,$220.90,$225.26,$220.62
06/30/2025,$221.02,2071771,$217.39,$221.13,$215.26
06/27/2025,$217.78,2086256,$216.30,$219.88,$215.87
06/26/2025,$217.52,2040073,$220.79,$221.58,$215.82
06/25/2025,$220.22,1727397,$221.74,$222.825,$219.51
06/24/2025,$223.91,2219043,$220.87,$225.03,$219.0037
06/23/2025,$221.63,2618039,$218.65,$222.61,$217.545
06/20/2025,$217.48,4018901,$215.14,$218.85,$214.30
06/18/2025,$215.48,1665653,$215.61,$216.6575,$213.59
06/17/2025,$215.14,1659540,$215.12,$215.755,$212.78
06/16/2025,$214.98,2424545,$213.00,$217.32,$213.00
06/13/2025,$214.80,2455578,$215.50,$217.36,$214.0689
06/12/2025,$217.70,1738066,$215.78,$217.77,$214.55
06/11/2025,$214.36,1577890,$214.61,$215.71,$212.94
06/10/2025,$214.61,1625003,$213.94,$215.40,$212.73
06/09/2025,$212.83,1777763,$212.11,$213.93,$210.38
06/06/2025,$212.54,2516318,$215.32,$216.125,$212.09
06/05/2025,$216.22,2526905,$215.13,$217.19,$214.07
06/04/2025,$214.36,1579002,$213.25,$216.47,$212.19
06/03/2025,$213.39,2035496,$213.15,$214.38,$211.73
06/02/2025,$214.11,2142649,$213.38,$214.435,$210.90
05/30/2025,$214.65,5861528,$213.12,$215.37,$212.32
05/29/2025,$213.71,1790593,$211.66,$214.10,$210.65
05/28/2025,$212.46,1787967,$213.00,$213.10,$210.73
05/27/2025,$213.70,1867026,$211.02,$214.99,$211.02
05/23/2025,$211.86,1573189,$213.12,$213.53,$210.555
05/22/2025,$210.27,1969848,$214.43,$215.66,$209.07
05/21/2025,$213.73,2231515,$215.64,$216.56,$213.46
05/20/2025,$215.40,1755977,$213.51,$215.86,$213.42
05/19/2025,$215.13,1733618,$213.64,$215.50,$211.95
05/16/2025,$213.38,2812716,$212.96,$213.46,$211.40
05/15/2025,$211.68,3115633,$206.24,$211.77,$205.00
05/14/2025,$204.50,4060445,$202.90,$205.185,$201.01
05/13/2025,$203.96,4525363,$208.50,$208.50,$201.72
05/12/2025,$207.92,4450863,$217.44,$217.44,$206.92
05/09/2025,$219.97,2499850,$217.07,$220.585,$216.58
05/08/2025,$217.88,3007593,$218.94,$219.90,$217.55
05/07/2025,$219.49,3571688,$222.58,$224.96,$219.27
05/06/2025,$223.81,1637069,$224.31,$225.62,$222.36
05/05/2025,$223.87,1832956,$225.10,$226.02,$222.4473
05/02/2025,$223.60,2732560,$225.53,$225.98,$221.19
05/01/2025,$224.03,2252975,$224.87,$225.84,$223.07
04/30/2025,$225.41,3491488,$221.36,$226.09,$220.59
