Date,Close/Last,Volume,Open,High,Low
10/17/2025,$187.02,762790,$184.52,$187.06,$184.38
10/16/2025,$184.46,993649,$184.15,$185.77,$183.11
10/15/2025,$184.00,889712,$185.53,$187.265,$183.28
10/14/2025,$185.42,606688,$184.68,$185.965,$183.75
10/13/2025,$184.68,490094,$184.28,$185.53,$183.82
10/10/2025,$184.53,742330,$186.94,$187.1962,$183.66
10/09/2025,$185.85,403688,$187.05,$187.52,$185.00
10/08/2025,$186.42,583565,$186.45,$187.45,$185.74
10/07/2025,$187.52,722471,$187.99,$189.755,$186.4301
10/06/2025,$187.58,964121,$191.00,$191.02,$187.34
10/03/2025,$190.69,519146,$190.40,$192.63,$190.25
10/02/2025,$190.10,555529,$190.85,$191.46,$189.24
10/01/2025,$191.37,792360,$192.43,$193.81,$191.25
09/30/2025,$193.17,944097,$191.82,$193.31,$190.08
09/29/2025,$193.56,787999,$193.74,$194.875,$192.77
09/26/2025,$194.86,695828,$192.23,$195.30,$192.23
09/25/2025,$191.57,925978,$192.50,$193.92,$191.00
09/24/2025,$192.77,1193202,$194.40,$194.47,$192.35
09/23/2025,$194.40,792466,$192.85,$194.68,$192.42
09/22/2025,$193.01,1079562,$193.51,$193.95,$191.68
09/19/2025,$192.96,1878914,$193.37,$195.13,$192.73
09/18/2025,$193.63,727606,$192.90,$194.30,$192.17
09/17/2025,$192.54,781038,$192.39,$195.26,$191.91
09/16/2025,$192.28,1051991,$192.51,$193.64,$191.90
09/15/2025,$192.84,941823,$195.21,$195.71,$192.665
09/12/2025,$195.15,545794,$196.96,$198.29,$195.12
09/11/2025,$196.83,656710,$194.14,$197.31,$193.32
09/10/2025,$192.64,852516,$194.48,$196.095,$192.30
09/09/2025,$195.24,675075,$194.00,$195.325,$193.495
09/08/2025,$194.47,604582,$193.45,$194.70,$192.79
09/05/2025,$195.41,600397,$193.93,$196.85,$193.89
09/04/2025,$192.72,672593,$192.05,$193.10,$191.06
09/03/2025,$191.07,699502,$188.19,$191.09,$188.19
09/02/2025,$189.02,877368,$194.92,$194.92,$188.48
08/29/2025,$195.85,886025,$193.86,$196.4574,$193.61
08/28/2025,$194.61,894956,$194.43,$194.72,$192.62
08/27/2025,$194.12,613517,$192.04,$194.27,$191.94
08/26/2025,$192.01,1353383,$192.54,$193.69,$191.79
08/25/2025,$192.27,582805,$193.18,$194.27,$191.11
08/22/2025,$193.62,1211695,$191.90,$195.06,$191.705
08/21/2025,$190.43,681012,$189.14,$191.7799,$189.14
08/20/2025,$190.62,843371,$192.14,$193.90,$190.51
08/19/2025,$191.45,1436251,$188.86,$192.69,$188.73
08/18/2025,$188.25,690205,$190.30,$190.64,$188.05
08/15/2025,$190.58,767538,$189.29,$190.67,$188.445
08/14/2025,$189.32,1030232,$188.39,$189.92,$187.29
08/13/2025,$191.06,826324,$188.80,$191.54,$186.77
08/12/2025,$186.93,701792,$185.36,$187.03,$184.285
08/11/2025,$185.08,831057,$186.40,$187.14,$184.5325
08/08/2025,$186.78,720404,$188.83,$189.09,$186.32
08/07/2025,$188.24,1001760,$187.04,$189.37,$187.04
08/06/2025,$186.50,1283571,$186.72,$187.70,$184.565
08/05/2025,$186.31,1919239,$184.18,$189.50,$182.96
08/04/2025,$182.72,1301529,$184.00,$186.18,$182.26
08/01/2025,$184.44,1843814,$187.58,$188.24,$181.23
07/31/2025,$186.28,1582994,$193.32,$194.20,$185.815
07/30/2025,$196.31,1078274,$202.065,$202.065,$194.445
07/29/2025,$203.12,533598,$199.62,$203.29,$198.775
07/28/2025,$198.77,588931,$201.35,$202.24,$198.64
07/25/2025,$201.75,319705,$201.24,$203.11,$200.41
07/24/2025,$201.59,506371,$203.16,$203.275,$201.35
07/23/2025,$203.39,500527,$204.68,$204.68,$202.39
07/22/2025,$204.51,662573,$201.49,$204.68,$201.335
07/21/2025,$200.79,645095,$203.33,$205.00,$200.18
07/18/2025,$202.63,474930,$202.46,$203.31,$201.30
07/17/2025,$202.13,667503,$201.93,$203.08,$200.72
07/16/2025,$201.86,606511,$199.92,$202.14,$199.34
07/15/2025,$199.48,621426,$201.76,$201.985,$198.4478
07/14/2025,$201.95,678306,$202.11,$203.71,$201.5501
07/11/2025,$201.86,513236,$199.96,$202.78,$199.96
07/10/2025,$202.70,825067,$200.69,$204.23,$200.52
