Date,Close/Last,Volume,Open,High,Low
10/17/2025,$1161.16,777614,$1169.06,$1176.18,$1154.15
10/16/2025,$1171.36,1250532,$1204.00,$1209.89,$1168.13
10/15/2025,$1202.59,1003797,$1200.00,$1219.9399,$1178.00
10/14/2025,$1194.26,1146364,$1140.00,$1209.82,$1135.00
10/13/2025,$1155.12,742436,$1147.62,$1163.435,$1144.72
10/10/2025,$1132.36,643530,$1172.50,$1180.9325,$1131.38
10/09/2025,$1167.43,478172,$1170.63,$1177.50,$1157.115
10/08/2025,$1165.00,393670,$1171.44,$1178.1899,$1155.47
10/07/2025,$1166.23,531394,$1179.27,$1183.95,$1155.03
10/06/2025,$1179.27,772561,$1168.98,$1184.125,$1158.60
10/03/2025,$1160.69,377223,$1166.96,$1168.005,$1157.85
10/02/2025,$1160.54,615951,$1145.54,$1167.4825,$1138.60
10/01/2025,$1141.07,604343,$1154.00,$1156.92,$1133.69
09/30/2025,$1165.87,691662,$1176.65,$1183.50,$1154.50
09/29/2025,$1175.56,567600,$1167.40,$1182.14,$1163.8493
09/26/2025,$1156.45,435544,$1152.00,$1159.48,$1150.7816
09/25/2025,$1147.29,680300,$1122.68,$1149.12,$1118.00
09/24/2025,$1127.98,345418,$1133.50,$1140.43,$1125.6133
09/23/2025,$1131.75,427188,$1138.50,$1146.26,$1127.405
09/22/2025,$1136.21,366078,$1137.19,$1142.9108,$1133.70
09/19/2025,$1142.85,1505458,$1138.77,$1145.05,$1126.00
09/18/2025,$1137.13,523878,$1136.94,$1151.94,$1134.50
09/17/2025,$1131.78,508134,$1121.00,$1133.45,$1117.0001
09/16/2025,$1118.89,547553,$1120.00,$1123.3899,$1106.61
09/15/2025,$1115.11,506922,$1120.58,$1125.61,$1110.50
09/12/2025,$1123.41,544815,$1132.72,$1139.9999,$1118.65
09/11/2025,$1134.18,585217,$1105.00,$1141.8287,$1102.97
09/10/2025,$1102.89,367412,$1107.28,$1118.52,$1098.81
09/09/2025,$1105.67,334299,$1101.56,$1113.71,$1100.05
09/08/2025,$1104.92,671011,$1098.28,$1105.82,$1094.0006
09/05/2025,$1099.15,487595,$1107.71,$1110.1769,$1088.565
09/04/2025,$1108.76,460044,$1109.00,$1113.00,$1101.58
09/03/2025,$1099.49,413192,$1112.60,$1113.20,$1092.66
09/02/2025,$1114.77,391419,$1117.84,$1119.99,$1100.592
08/29/2025,$1127.14,356068,$1131.90,$1134.138,$1118.45
08/28/2025,$1130.48,475204,$1133.80,$1137.9999,$1127.12
08/27/2025,$1131.63,310178,$1138.39,$1144.78,$1131.56
08/26/2025,$1139.80,580410,$1135.03,$1142.41,$1125.53
08/25/2025,$1137.10,415052,$1143.41,$1150.00,$1136.57
08/22/2025,$1148.17,433703,$1128.89,$1157.7499,$1126.0001
08/21/2025,$1124.75,275084,$1124.82,$1129.00,$1118.8273
08/20/2025,$1128.46,573228,$1125.86,$1132.835,$1114.0101
08/19/2025,$1128.47,611810,$1126.28,$1135.00,$1121.80
08/18/2025,$1136.12,405860,$1134.00,$1141.00,$1126.82
08/15/2025,$1135.01,582235,$1163.52,$1163.52,$1134.43
08/14/2025,$1160.16,407645,$1154.13,$1162.50,$1144.83
08/13/2025,$1160.03,570861,$1166.50,$1171.89,$1148.00
08/12/2025,$1159.61,669217,$1134.33,$1161.50,$1131.5712
08/11/2025,$1127.93,575724,$1125.00,$1133.075,$1121.78
08/08/2025,$1124.97,427904,$1119.72,$1126.17,$1114.55
08/07/2025,$1112.83,381537,$1130.00,$1131.93,$1108.16
08/06/2025,$1120.54,404963,$1114.02,$1122.14,$1105.975
08/05/2025,$1109.64,481394,$1122.74,$1122.74,$1099.52
08/04/2025,$1116.06,503176,$1097.98,$1116.06,$1095.25
08/01/2025,$1091.80,673393,$1089.00,$1097.66,$1077.20
07/31/2025,$1106.01,498576,$1108.29,$1120.9513,$1103.24
07/30/2025,$1114.65,372449,$1117.30,$1126.55,$1109.44
07/29/2025,$1121.53,422041,$1123.35,$1127.94,$1114.75
07/28/2025,$1117.82,299397,$1124.00,$1125.69,$1115.0906
07/25/2025,$1123.28,516333,$1122.32,$1130.66,$1117.755
07/24/2025,$1118.37,539549,$1117.00,$1125.76,$1113.64
07/23/2025,$1120.37,653555,$1104.17,$1122.734,$1100.5558
07/22/2025,$1100.39,580871,$1096.08,$1103.8061,$1086.18
07/21/2025,$1093.02,445878,$1107.68,$1110.71,$1093.02
07/18/2025,$1103.59,991574,$1111.93,$1119.19,$1102.58
07/17/2025,$1105.38,1175847,$1085.00,$1109.29,$1077.11
07/16/2025,$1082.24,1407409,$1054.59,$1086.95,$1053.0001
07/15/2025,$1046.16,1939352,$1070.85,$1076.4688,$1033.765
07/14/2025,$1111.46,661833,$1101.08,$1112.13,$1098.435
07/11/2025,$1101.64,545553,$1099.61,$1103.44,$1091.8228
07/10/2025,$1104.05,467761,$1091.78,$1105.7199,$1084.15
07/09/2025,$1088.75,340477,$1080.00,$1088.77,$1077.641
07/08/2025,$1075.02,502472,$1075.42,$1079.86,$1070.00
07/07/2025,$1075.97,559672,$1084.00,$1086.8399,$1070.0201
07/03/2025,$1082.15,342684,$1071.33,$1082.48,$1066.63
07/02/2025,$1070.57,495097,$1056.00,$1070.66,$1050.00
07/01/2025,$1054.27,472882,$1046.58,$1056.9985,$1041.4258
06/30/2025,$1049.25,530472,$1049.98,$1054.1799,$1041.31
06/27/2025,$1047.82,799932,$1035.60,$1050.00,$1034.36
06/26/2025,$1030.79,631489,$1020.52,$1036.9999,$1017.70
06/25/2025,$1018.08,661804,$1007.73,$1020.00,$1000.00
06/24/2025,$1004.97,699670,$995.50,$1005.85,$993.00
06/23/2025,$986.30,642854,$975.32,$986.45,$966.48
06/20/2025,$974.44,859584,$982.21,$986.91,$973.21
06/18/2025,$979.52,662709,$970.81,$988.27,$966.45
06/17/2025,$969.18,625049,$975.85,$980.425,$965.63
06/16/2025,$982.10,522427,$986.59,$989.1495,$977.23
06/13/2025,$971.82,674354,$980.32,$985.57,$967.34
06/12/2025,$988.25,558619,$989.91,$994.50,$983.74
06/11/2025,$993.30,645783,$995.30,$1003.31,$990.00
06/10/2025,$991.90,478699,$987.50,$993.12,$985.00
06/09/2025,$988.84,420358,$991.29,$994.42,$981.52
06/06/2025,$989.05,627723,$993.73,$1000.98,$987.325
06/05/2025,$985.46,479426,$989.07,$991.00,$978.585
