Date,Close/Last,Volume,Open,High,Low
10/17/2025,$59.94,4241137,$59.50,$59.99,$59.33
10/16/2025,$59.29,4717781,$59.56,$59.91,$59.24
10/15/2025,$59.46,5143806,$58.85,$59.545,$58.61
10/14/2025,$58.84,5303493,$58.73,$59.09,$58.5601
10/13/2025,$58.73,4231653,$58.12,$58.87,$58.0301
10/10/2025,$58.26,4849447,$58.76,$58.97,$58.22
10/09/2025,$58.66,4040084,$59.14,$59.30,$58.415
10/08/2025,$59.01,4673467,$59.485,$59.55,$58.96
10/07/2025,$59.63,4613245,$59.955,$60.085,$59.505
10/06/2025,$59.90,4976757,$60.25,$60.39,$59.90
10/03/2025,$60.40,4124151,$60.05,$60.7401,$60.05
10/02/2025,$60.08,4493276,$60.28,$60.31,$59.82
10/01/2025,$60.46,5639149,$60.50,$60.74,$60.305
09/30/2025,$60.79,6683992,$60.55,$60.82,$60.30
09/29/2025,$60.55,6067518,$60.30,$60.55,$60.10
09/26/2025,$60.32,5681779,$59.87,$60.465,$59.87
09/25/2025,$59.79,4799278,$60.20,$60.36,$59.49
09/24/2025,$59.98,5751310,$59.67,$60.30,$59.46
09/23/2025,$59.55,4571782,$59.12,$59.6356,$59.10
09/22/2025,$59.06,5909860,$59.31,$59.32,$58.71
09/19/2025,$59.16,12684310,$59.07,$59.696,$58.95
09/18/2025,$59.11,6233981,$59.44,$59.76,$58.955
09/17/2025,$59.71,5236311,$60.245,$60.49,$59.70
09/16/2025,$59.98,6206323,$60.24,$60.55,$59.79
09/15/2025,$60.22,6098809,$60.58,$61.085,$60.08
09/12/2025,$60.41,3910085,$60.09,$60.59,$60.03
09/11/2025,$60.16,4690651,$59.55,$60.25,$59.55
09/10/2025,$59.45,4673340,$59.53,$59.85,$59.17
09/09/2025,$59.49,4083682,$59.05,$59.53,$58.8338
09/08/2025,$59.10,5197790,$59.02,$59.26,$58.63
09/05/2025,$59.29,5321079,$58.45,$59.29,$58.43
09/04/2025,$58.28,4320260,$58.07,$58.65,$57.925
09/03/2025,$57.95,4102199,$57.65,$57.985,$57.44
09/02/2025,$57.74,5441984,$58.02,$58.305,$57.455
08/29/2025,$58.76,4370657,$58.20,$58.78,$58.17
08/28/2025,$58.13,5009829,$58.625,$58.625,$57.86
08/27/2025,$58.55,5703912,$58.40,$58.77,$58.18
08/26/2025,$58.13,7617747,$58.295,$58.38,$57.7202
08/25/2025,$58.21,6828975,$58.675,$58.89,$58.1201
08/22/2025,$58.92,7649971,$59.86,$60.10,$58.835
08/21/2025,$59.58,4920989,$59.75,$59.86,$59.315
08/20/2025,$59.90,6768023,$59.23,$60.165,$59.15
08/19/2025,$59.01,4600172,$58.05,$59.03,$57.99
08/18/2025,$57.87,4331113,$58.48,$58.625,$57.85
08/15/2025,$58.48,6242821,$58.01,$58.69,$57.82
08/14/2025,$57.82,4193695,$57.785,$58.015,$57.6147
08/13/2025,$57.89,4666578,$57.73,$58.02,$57.2798
08/12/2025,$57.66,4149222,$57.45,$57.70,$57.0102
08/11/2025,$57.39,3609420,$57.38,$57.92,$57.35
08/08/2025,$57.44,4537967,$57.16,$57.98,$57.13
08/07/2025,$57.09,5058323,$56.96,$57.21,$56.27
08/06/2025,$56.91,4195512,$57.23,$57.49,$56.8899
08/05/2025,$57.20,4204441,$57.38,$57.575,$57.17
08/04/2025,$57.45,5232192,$56.56,$57.48,$56.53
08/01/2025,$56.57,7981852,$56.50,$57.00,$55.92
07/31/2025,$56.13,7458531,$56.755,$56.9492,$56.035
07/30/2025,$56.79,3860485,$57.38,$57.73,$56.59
07/29/2025,$57.36,4392156,$57.07,$57.435,$56.7643
07/28/2025,$56.86,4243412,$57.895,$57.895,$56.85
07/25/2025,$57.90,4439262,$58.09,$58.20,$57.29
07/24/2025,$58.02,3995872,$57.76,$58.26,$57.63
07/23/2025,$57.88,3666112,$57.78,$58.085,$57.54
07/22/2025,$57.84,5154852,$56.50,$57.88,$56.49
07/21/2025,$56.39,3718444,$56.665,$56.99,$56.32
07/18/2025,$56.47,4161853,$56.45,$56.82,$56.30
07/17/2025,$56.36,4440116,$56.75,$56.9317,$56.36
07/16/2025,$56.79,5292737,$56.975,$57.19,$56.605
07/15/2025,$56.66,7800358,$58.195,$58.435,$56.66
07/14/2025,$58.70,13455200,$57.12,$58.98,$57.065
07/11/2025,$57.16,4629333,$56.765,$57.34,$56.59
07/10/2025,$56.93,5415227,$56.79,$57.16,$56.60
07/09/2025,$56.92,5712181,$57.48,$57.58,$56.92
07/08/2025,$57.49,3968783,$57.19,$57.65,$57.06
07/07/2025,$57.53,4691003,$57.69,$57.94,$57.2125
07/03/2025,$57.68,2942493,$57.72,$57.88,$57.39
07/02/2025,$57.75,3975042,$57.50,$57.84,$57.14
07/01/2025,$57.80,5686898,$57.44,$58.14,$57.22
06/30/2025,$57.61,7304282,$57.07,$57.65,$56.56
06/27/2025,$57.03,5318636,$57.31,$57.65,$56.815
06/26/2025,$57.20,6188365,$57.38,$57.55,$56.70
06/25/2025,$57.08,8468691,$57.745,$57.785,$57.05
06/24/2025,$57.98,5388624,$58.26,$58.4136,$57.88
06/23/2025,$58.37,5171343,$57.22,$58.45,$57.22
06/20/2025,$57.18,16937630,$57.555,$57.99,$57.14
06/18/2025,$57.58,4412984,$57.62,$57.91,$57.265
06/17/2025,$57.53,4274041,$57.40,$57.745,$57.085
06/16/2025,$57.39,5060637,$57.69,$58.06,$57.225
06/13/2025,$57.64,4854066,$57.82,$58.17,$57.27
06/12/2025,$57.96,4266787,$57.79,$58.12,$57.52
06/11/2025,$57.76,4193840,$57.37,$57.945,$57.35
06/10/2025,$57.35,4739230,$56.835,$57.55,$56.83
06/09/2025,$56.81,5659164,$55.96,$56.90,$55.8584
06/06/2025,$56.00,4841648,$55.785,$56.1756,$55.605
06/05/2025,$55.83,4887518,$56.005,$56.03,$55.57
06/04/2025,$55.92,5147744,$55.845,$56.1969,$55.52
06/03/2025,$56.01,4757760,$56.215,$56.32,$55.8515
06/02/2025,$56.58,4573642,$56.10,$56.59,$55.67
05/30/2025,$56.62,9971398,$56.39,$56.75,$56.11
05/29/2025,$56.36,4857976,$55.80,$56.37,$55.555
05/28/2025,$55.85,3306017,$56.16,$56.20,$55.66
05/27/2025,$56.16,4487813,$55.79,$56.3308,$55.545
05/23/2025,$55.53,4007132,$55.46,$55.70,$55.03
05/22/2025,$55.18,4038574,$55.23,$55.39,$54.64
05/21/2025,$55.25,4533997,$56.125,$56.20,$55.17
05/20/2025,$56.20,2781430,$56.00,$56.35,$56.00
05/19/2025,$56.25,4691283,$56.10,$56.38,$55.90
05/16/2025,$56.24,6484513,$55.50,$56.34,$55.30
05/15/2025,$55.40,5836544,$54.79,$55.40,$54.52
05/14/2025,$54.54,6270223,$55.05,$55.18,$54.38
05/13/2025,$55.06,6642085,$55.78,$55.89,$54.815
05/12/2025,$55.94,8776895,$56.15,$56.195,$55.345
05/09/2025,$56.69,3634766,$56.21,$56.875,$55.9006
05/08/2025,$56.25,4858630,$56.70,$56.81,$56.20
05/07/2025,$56.74,6822854,$56.80,$57.23,$56.58
05/06/2025,$56.79,5650193,$56.88,$57.55,$56.37
05/05/2025,$56.94,4392834,$56.96,$57.3464,$56.75
05/02/2025,$56.96,4292747,$57.60,$57.70,$56.79
05/01/2025,$57.17,4308514,$57.70,$57.875,$57.04
04/30/2025,$57.86,7998962,$57.56,$58.06,$56.96
04/29/2025,$57.38,3691060,$57.24,$57.67,$56.83
04/28/2025,$57.24,3789839,$56.81,$57.365,$56.42
04/25/2025,$56.89,3861460,$57.26,$57.37,$56.56
04/24/2025,$57.15,5522251,$58.10,$58.10,$56.96
04/23/2025,$58.05,4954516,$58.36,$58.66,$57.42
04/22/2025,$58.52,4058321,$58.32,$58.88,$57.98
04/21/2025,$57.96,4414213,$58.15,$58.69,$57.155
04/17/2025,$58.32,5109606,$57.32,$58.6173,$57.20
04/16/2025,$57.26,4657861,$57.00,$57.92,$56.98
04/15/2025,$57.01,4991146,$56.43,$57.135,$56.14
04/14/2025,$56.27,4591763,$55.53,$56.635,$55.36
04/11/2025,$55.22,6516570,$54.00,$55.35,$53.65
04/10/2025,$54.15,7982279,$53.90,$54.775,$52.61
04/09/2025,$53.98,10569180,$51.50,$54.3699,$50.71
04/08/2025,$52.27,12132400,$54.04,$54.44,$51.81
04/07/2025,$52.93,13272620,$52.70,$55.04,$52.48
04/04/2025,$55.15,12097500,$56.33,$56.99,$55.07
04/03/2025,$57.06,9623680,$57.51,$58.16,$56.3775
04/02/2025,$57.12,4765569,$57.36,$57.545,$56.68
04/01/2025,$57.15,5135812,$57.93,$58.20,$56.51
03/31/2025,$58.01,8202080,$56.75,$58.27,$56.75
03/28/2025,$56.61,3504325,$56.405,$56.735,$55.98
03/27/2025,$56.16,4490649,$56.47,$56.9273,$56.1001
03/26/2025,$56.56,4475515,$55.80,$56.715,$55.72
03/25/2025,$55.65,6720638,$56.33,$56.45,$55.51
03/24/2025,$56.28,4699381,$55.895,$56.4578,$55.75
03/21/2025,$55.80,10839460,$56.27,$56.33,$55.57
03/20/2025,$56.46,5079410,$56.62,$56.66,$56.10
03/19/2025,$56.44,6039805,$56.96,$57.03,$56.275
03/18/2025,$56.96,3708713,$56.99,$57.18,$56.605
03/17/2025,$56.98,3837229,$56.95,$57.3685,$56.81
03/14/2025,$56.69,6367747,$55.97,$56.82,$55.86
03/13/2025,$55.86,5824093,$56.50,$57.45,$55.80
03/12/2025,$56.37,7062053,$56.50,$56.72,$55.8817
03/11/2025,$56.71,7482478,$58.50,$58.77,$56.23
03/10/2025,$58.49,7584019,$58.75,$60.39,$58.22
03/07/2025,$58.48,6256793,$57.47,$59.015,$57.43
03/06/2025,$57.33,7126649,$57.86,$58.27,$56.7312
03/05/2025,$58.11,5369045,$57.34,$58.26,$57.092
03/04/2025,$57.76,8280659,$57.70,$58.53,$57.70
03/03/2025,$57.55,5859826,$56.68,$57.64,$56.625
02/28/2025,$57.03,7520350,$56.84,$57.25,$56.66
02/27/2025,$56.57,5082147,$56.07,$56.83,$56.05
02/26/2025,$56.10,6078298,$56.155,$56.91,$55.90
