Date,Close/Last,Volume,Open,High,Low
10/17/2025,$124.08,5377022,$121.28,$124.355,$121.17
10/16/2025,$121.17,6320164,$123.86,$125.045,$120.2511
10/15/2025,$122.76,7999864,$116.67,$123.28,$116.5142
10/14/2025,$115.45,3150791,$112.55,$115.71,$111.81
10/13/2025,$112.72,2624502,$112.02,$113.04,$111.38
10/10/2025,$111.23,2924144,$114.76,$115.24,$111.03
10/09/2025,$114.45,2276316,$115.86,$116.04,$114.045
10/08/2025,$115.99,2324478,$116.02,$116.75,$114.74
10/07/2025,$115.97,2969135,$117.48,$117.615,$114.15
10/06/2025,$117.13,2540250,$117.00,$117.79,$116.365
10/03/2025,$117.06,3136929,$116.40,$118.20,$116.01
10/02/2025,$116.12,2935743,$116.22,$116.475,$114.54
10/01/2025,$116.48,2980922,$114.31,$116.52,$113.80
09/30/2025,$114.52,3617407,$114.22,$114.54,$113.105
09/29/2025,$114.24,2470930,$114.60,$114.865,$113.615
09/26/2025,$114.19,3021604,$113.46,$114.60,$112.85
09/25/2025,$113.21,2596444,$112.92,$113.76,$112.60
09/24/2025,$112.86,3274374,$113.80,$114.34,$112.58
09/23/2025,$114.44,2319214,$113.98,$114.65,$113.10
09/22/2025,$113.93,2798722,$113.16,$114.46,$112.00
09/19/2025,$113.51,8647820,$115.18,$115.31,$113.25
09/18/2025,$115.16,3936089,$114.30,$115.795,$113.88
09/17/2025,$113.89,2870011,$114.98,$116.41,$113.38
09/16/2025,$114.03,2989901,$113.87,$114.88,$112.88
09/15/2025,$114.27,2717854,$115.29,$116.00,$113.685
09/12/2025,$115.35,3552224,$114.86,$115.905,$114.17
09/11/2025,$114.82,5039907,$111.31,$115.67,$111.00
09/10/2025,$110.98,3118964,$111.91,$112.29,$110.60
09/09/2025,$111.97,5307176,$113.28,$113.98,$111.545
09/08/2025,$113.56,2791255,$112.17,$113.76,$111.66
09/05/2025,$113.65,2595759,$113.59,$114.95,$112.98
09/04/2025,$112.61,2499597,$111.25,$112.81,$110.51
09/03/2025,$110.95,3333730,$111.00,$112.25,$110.865
09/02/2025,$111.30,3396279,$112.25,$112.58,$111.01
08/29/2025,$113.78,2827664,$112.41,$113.96,$112.19
08/28/2025,$112.64,2559125,$112.79,$112.9358,$111.40
08/27/2025,$112.68,3451484,$112.78,$114.20,$112.12
08/26/2025,$111.35,4839126,$111.58,$112.81,$111.05
08/25/2025,$111.62,2022828,$112.02,$112.745,$111.30
08/22/2025,$112.28,3554089,$109.23,$113.1499,$109.14
08/21/2025,$108.39,3045791,$109.05,$109.61,$107.84
08/20/2025,$110.18,3227340,$111.43,$112.12,$109.74
08/19/2025,$110.76,3985492,$107.47,$110.87,$107.025
08/18/2025,$105.44,2035631,$106.57,$106.61,$105.42
08/15/2025,$106.59,1924224,$106.32,$106.80,$105.9798
08/14/2025,$105.85,2267969,$105.30,$106.32,$104.07
08/13/2025,$106.19,2679177,$105.12,$106.54,$104.54
08/12/2025,$104.81,2847141,$104.30,$104.94,$103.41
08/11/2025,$104.08,3181454,$105.41,$105.86,$103.94
08/08/2025,$105.68,1841670,$106.22,$106.77,$105.62
08/07/2025,$106.29,2214896,$106.96,$107.48,$105.31
08/06/2025,$105.73,3706201,$106.93,$107.4336,$105.63
08/05/2025,$107.04,3556675,$105.70,$107.58,$105.30
08/04/2025,$105.21,4631784,$105.33,$105.89,$104.41
08/01/2025,$104.91,6122826,$107.18,$107.27,$104.095
07/31/2025,$106.78,4136199,$107.47,$108.78,$106.59
07/30/2025,$108.49,3796454,$109.90,$110.39,$107.59
07/29/2025,$109.72,3812884,$107.58,$109.83,$106.80
07/28/2025,$107.12,2850632,$110.00,$110.28,$107.07
07/25/2025,$110.29,2150692,$109.95,$110.36,$108.33
07/24/2025,$109.72,6209060,$109.79,$110.535,$109.22
