Date,Close/Last,Volume,Open,High,Low
10/17/2025,$178.09,1045543,$176.43,$178.74,$176.3606
10/16/2025,$176.74,1069194,$178.56,$179.345,$176.07
10/15/2025,$178.36,1409376,$176.73,$179.17,$176.625
10/14/2025,$175.83,1528624,$176.24,$176.54,$174.65
10/13/2025,$176.50,1123978,$176.48,$177.68,$175.55
10/10/2025,$175.30,1621135,$179.61,$180.25,$175.29
10/09/2025,$178.84,923277,$178.72,$179.29,$177.48
10/08/2025,$178.23,1318523,$177.83,$178.36,$176.94
10/07/2025,$178.92,1601064,$179.24,$179.72,$177.33
10/06/2025,$179.17,1568133,$184.44,$185.25,$179.15
10/03/2025,$185.23,1146548,$185.19,$187.25,$184.685
10/02/2025,$185.01,1494098,$185.76,$185.79,$183.88
10/01/2025,$185.76,1836462,$187.66,$188.43,$184.40
09/30/2025,$187.67,1812189,$186.17,$188.135,$185.30
09/29/2025,$185.85,1282580,$185.47,$186.34,$184.82
09/26/2025,$185.39,1368244,$182.815,$185.88,$182.22
09/25/2025,$182.61,1303584,$183.09,$183.78,$182.48
09/24/2025,$183.13,1531219,$184.07,$184.68,$182.48
09/23/2025,$184.13,1386246,$180.72,$184.67,$180.62
09/22/2025,$181.14,1401884,$179.74,$181.43,$178.39
09/19/2025,$180.72,7083297,$180.36,$182.305,$180.04
09/18/2025,$180.09,1898592,$182.00,$182.84,$178.675
09/17/2025,$181.56,1706379,$181.54,$184.15,$180.67
09/16/2025,$181.52,1348631,$183.28,$184.065,$181.245
09/15/2025,$183.76,1570899,$182.21,$184.24,$181.25
09/12/2025,$182.47,1547341,$183.90,$184.50,$182.095
09/11/2025,$183.90,1786347,$179.99,$184.16,$179.6581
09/10/2025,$179.23,2223263,$178.91,$179.865,$177.99
09/09/2025,$179.39,1889550,$179.445,$180.3838,$178.15
09/08/2025,$182.55,2369331,$181.77,$182.93,$180.11
09/05/2025,$182.25,1829543,$182.80,$184.78,$180.81
09/04/2025,$181.52,2103736,$180.82,$181.92,$179.70
09/03/2025,$179.86,1590543,$178.66,$180.25,$177.835
09/02/2025,$178.87,2825709,$177.47,$179.22,$177.01
08/29/2025,$180.66,1716898,$180.00,$180.98,$179.42
08/28/2025,$179.36,1438713,$179.00,$179.54,$177.08
08/27/2025,$178.17,1754568,$176.62,$178.62,$176.402
08/26/2025,$176.83,2020294,$176.37,$177.80,$176.00
08/25/2025,$176.41,1408367,$176.58,$177.435,$175.94
08/22/2025,$176.56,1313821,$174.96,$177.90,$174.08
08/21/2025,$173.43,810930,$173.17,$174.19,$172.45
08/20/2025,$174.13,1017396,$175.15,$175.50,$173.47
08/19/2025,$174.88,1907617,$172.59,$176.14,$172.09
08/18/2025,$172.56,1187916,$173.39,$174.1118,$172.295
08/15/2025,$173.28,1581621,$172.44,$173.40,$171.22
08/14/2025,$172.19,1889290,$171.45,$172.53,$170.49
08/13/2025,$172.59,1660348,$169.29,$172.88,$169.11
08/12/2025,$169.22,1242676,$166.03,$169.42,$165.37
08/11/2025,$165.20,1191059,$164.51,$165.615,$163.29
08/08/2025,$164.93,1109121,$166.34,$167.21,$164.81
08/07/2025,$166.35,1399514,$168.79,$168.885,$165.10
08/06/2025,$167.53,1844783,$170.00,$171.57,$167.30
08/05/2025,$169.31,2645326,$159.99,$169.555,$159.99
08/04/2025,$163.94,1847334,$161.31,$165.22,$160.50
08/01/2025,$160.68,2149833,$162.95,$163.355,$159.70
07/31/2025,$163.79,1739483,$164.25,$166.00,$163.43
07/30/2025,$165.46,1085219,$168.35,$168.72,$164.335
07/29/2025,$168.08,1125651,$166.88,$168.16,$166.10
07/28/2025,$165.28,1090170,$166.78,$167.52,$165.10
07/25/2025,$167.11,1374787,$165.53,$167.215,$164.27
07/24/2025,$164.96,1339457,$165.35,$166.91,$164.80
07/23/2025,$165.74,1040624,$166.36,$166.77,$165.11
07/22/2025,$165.57,1654044,$163.72,$165.86,$163.42
07/21/2025,$163.76,1502820,$163.09,$164.875,$162.41
07/18/2025,$162.86,950792,$162.90,$163.81,$162.05
07/17/2025,$162.73,1054221,$161.69,$163.175,$161.355
07/16/2025,$161.47,1438915,$160.74,$161.9129,$159.35
07/15/2025,$159.93,1532417,$162.94,$162.94,$159.33
07/14/2025,$162.43,1434023,$161.33,$162.56,$160.70
07/11/2025,$161.75,1112345,$162.00,$162.42,$160.96
07/10/2025,$163.45,1061560,$162.985,$164.6459,$162.765
07/09/2025,$162.93,1427089,$164.62,$164.74,$162.92
07/08/2025,$163.45,1790509,$164.27,$165.53,$163.16
07/07/2025,$165.04,1277557,$165.97,$167.90,$164.23
07/03/2025,$166.74,925334,$166.18,$167.8057,$165.69
07/02/2025,$165.84,1589457,$164.39,$166.33,$163.16
07/01/2025,$164.27,1772278,$160.34,$165.77,$160.00
06/30/2025,$160.76,2060283,$160.34,$160.93,$158.00
06/27/2025,$160.50,2028981,$160.83,$162.09,$159.49
06/26/2025,$160.60,1788481,$157.95,$160.75,$157.59
06/25/2025,$157.40,1380354,$159.58,$159.9755,$157.05
06/24/2025,$160.12,1559320,$159.59,$160.91,$158.78
06/23/2025,$159.08,1340644,$157.59,$159.56,$155.92
