Date,Close/Last,Volume,Open,High,Low
10/17/2025,$83.28,18798990,$84.45,$84.525,$82.31
10/16/2025,$84.00,22715620,$86.99,$87.43,$83.00
10/15/2025,$86.46,22909410,$85.165,$87.47,$85.16
10/14/2025,$84.56,36260550,$82.52,$86.06,$80.39
10/13/2025,$78.92,14229290,$78.74,$79.23,$78.275
10/10/2025,$77.62,16004290,$79.605,$80.44,$77.62
10/09/2025,$79.89,8432166,$79.91,$80.745,$79.42
10/08/2025,$79.73,11277370,$81.255,$81.33,$79.54
10/07/2025,$81.14,10371260,$80.87,$81.3601,$80.535
10/06/2025,$80.69,12837750,$80.56,$81.46,$79.57
10/03/2025,$80.67,10124900,$81.02,$81.69,$80.44
10/02/2025,$80.50,11419980,$80.70,$81.05,$80.035
10/01/2025,$80.87,16961910,$83.10,$83.60,$80.77
09/30/2025,$83.82,11428990,$84.655,$85.12,$82.6613
09/29/2025,$84.65,9834068,$84.70,$85.185,$84.035
09/26/2025,$85.01,8502912,$84.69,$85.64,$84.555
09/25/2025,$84.32,8514892,$83.69,$84.66,$83.555
09/24/2025,$84.11,9478931,$84.65,$85.37,$83.66
09/23/2025,$84.37,14818510,$85.15,$86.655,$83.67
09/22/2025,$85.16,14544980,$83.88,$85.28,$83.74
09/19/2025,$84.64,36482390,$83.83,$84.925,$82.9301
09/18/2025,$83.50,13021110,$82.565,$83.52,$81.94
09/17/2025,$82.48,14746100,$81.215,$82.72,$80.54
09/16/2025,$81.39,10705920,$81.56,$81.61,$80.085
09/15/2025,$81.41,9563192,$81.61,$81.815,$81.13
09/12/2025,$81.46,10498610,$81.10,$81.635,$80.7875
09/11/2025,$81.25,17785770,$80.20,$81.385,$79.78
09/10/2025,$80.30,16460210,$80.66,$81.24,$79.91
09/09/2025,$80.76,17157300,$79.31,$81.455,$79.00
09/08/2025,$79.14,17106970,$78.99,$79.79,$78.56
09/05/2025,$78.96,20661440,$81.64,$82.02,$78.70
09/04/2025,$81.83,10822310,$80.75,$82.1265,$80.225
09/03/2025,$80.51,11173970,$81.73,$82.01,$80.015
09/02/2025,$81.78,13325980,$81.71,$81.82,$80.4401
08/29/2025,$82.18,12041270,$81.965,$82.81,$81.80
08/28/2025,$81.98,13963180,$82.875,$83.13,$81.915
08/27/2025,$82.50,15567690,$81.26,$83.205,$81.24
08/26/2025,$81.51,14936590,$79.82,$81.63,$79.78
08/25/2025,$80.19,12016970,$78.88,$80.50,$78.87
08/22/2025,$79.10,11282590,$78.34,$79.31,$78.13
08/21/2025,$77.83,9102838,$77.88,$78.07,$77.08
08/20/2025,$78.16,12102230,$77.475,$78.479,$76.59
08/19/2025,$77.53,10118540,$77.16,$77.77,$77.03
08/18/2025,$77.44,11660880,$76.99,$77.60,$76.91
08/15/2025,$77.10,15380420,$79.54,$79.65,$77.005
08/14/2025,$79.41,16051480,$78.275,$79.579,$77.705
08/13/2025,$77.89,14415140,$79.675,$79.72,$77.10
08/12/2025,$79.48,14366370,$78.22,$79.555,$78.15
08/11/2025,$77.59,14408080,$78.01,$78.09,$77.23
08/08/2025,$77.85,14122980,$77.11,$78.18,$76.35
08/07/2025,$77.05,13105940,$78.28,$78.30,$76.78
08/06/2025,$77.61,14157030,$77.905,$78.815,$77.56
08/05/2025,$77.96,15765120,$78.34,$78.35,$76.155
08/04/2025,$77.58,13892060,$78.52,$78.525,$76.91
08/01/2025,$77.78,16071320,$79.19,$79.35,$77.40
07/31/2025,$80.63,14813910,$81.35,$81.93,$80.33
07/30/2025,$81.78,15579050,$82.99,$83.09,$81.305
07/29/2025,$82.65,12478160,$83.63,$83.695,$82.20
07/28/2025,$83.07,10627130,$84.32,$84.50,$82.71
07/25/2025,$84.32,14072400,$84.12,$84.455,$83.23
07/24/2025,$83.87,19031180,$83.84,$84.83,$83.12
07/23/2025,$83.70,19379220,$83.00,$83.925,$82.605
07/22/2025,$82.38,22437000,$80.28,$82.59,$80.28
07/21/2025,$80.28,14506600,$80.75,$81.46,$80.17
07/18/2025,$80.64,21235950,$79.845,$80.77,$78.88
07/17/2025,$79.71,21837610,$79.46,$80.65,$79.10
07/16/2025,$79.91,30567510,$78.885,$80.08,$78.21
07/15/2025,$78.86,53937980,$80.75,$81.0793,$77.725
07/14/2025,$83.43,20194150,$82.20,$83.515,$82.12
07/11/2025,$82.55,12583150,$81.75,$82.68,$81.43
07/10/2025,$82.36,14349180,$81.61,$82.735,$81.61
07/09/2025,$81.79,16135510,$82.43,$82.52,$81.46
07/08/2025,$81.59,18303370,$82.30,$82.415,$81.03
07/07/2025,$82.34,18155970,$82.97,$83.59,$81.50
07/03/2025,$83.60,11237290,$82.64,$83.945,$82.50
07/02/2025,$82.36,15195060,$81.915,$82.40,$81.25
07/01/2025,$81.49,20967090,$80.05,$81.505,$79.91
06/30/2025,$80.12,21685820,$80.48,$81.10,$79.91
06/27/2025,$79.50,21324190,$79.995,$80.15,$78.955
06/26/2025,$79.96,18214760,$79.44,$80.095,$79.19
06/25/2025,$79.07,13954460,$78.275,$79.3112,$77.99
06/24/2025,$78.11,16342330,$77.715,$78.75,$77.715
06/23/2025,$77.01,17375690,$75.13,$77.03,$74.82
06/20/2025,$75.40,27677540,$75.24,$75.775,$75.07
06/18/2025,$74.74,23498250,$72.65,$75.135,$72.57
06/17/2025,$72.50,14156760,$72.78,$73.21,$72.30
06/16/2025,$73.15,16231480,$73.395,$73.72,$72.925
06/13/2025,$72.36,21168330,$72.92,$73.79,$71.93
06/12/2025,$74.01,14522490,$74.33,$74.52,$73.17
06/11/2025,$74.93,16442380,$75.54,$75.72,$74.57
06/10/2025,$75.45,14892890,$76.16,$76.35,$75.13
06/09/2025,$76.46,13453150,$76.55,$76.70,$75.9305
06/06/2025,$76.33,10988020,$76.15,$76.76,$75.83
06/05/2025,$74.90,20148720,$75.61,$75.755,$74.18
06/04/2025,$75.38,29577980,$77.70,$78.80,$75.38
06/03/2025,$75.65,13193500,$74.72,$75.835,$74.37
06/02/2025,$74.72,11237470,$74.255,$74.75,$73.265
05/30/2025,$74.78,17041970,$74.20,$74.80,$73.73
05/29/2025,$74.51,14022050,$74.41,$75.08,$73.335
05/28/2025,$73.73,8711110,$74.20,$74.36,$73.335
05/27/2025,$73.99,11014070,$73.605,$74.09,$73.05
05/23/2025,$72.83,9260881,$71.895,$73.186,$71.895
05/22/2025,$73.39,9716997,$73.14,$73.885,$72.48
05/21/2025,$73.19,17711290,$74.94,$75.13,$73.09
05/20/2025,$75.52,10655610,$75.48,$75.87,$75.07
05/19/2025,$76.06,12720460,$75.60,$76.41,$75.43
05/16/2025,$76.18,13864560,$75.555,$76.35,$75.37
05/15/2025,$75.59,15303910,$76.06,$76.52,$75.32
05/14/2025,$76.28,14067100,$76.24,$76.49,$75.83
05/13/2025,$75.99,13635070,$75.44,$76.58,$74.965
05/12/2025,$74.88,20425540,$74.99,$75.25,$74.07
05/09/2025,$72.45,11137040,$73.135,$73.24,$72.03
05/08/2025,$73.31,19957460,$73.685,$73.985,$72.63
05/07/2025,$73.18,14310350,$73.60,$74.30,$72.98
05/06/2025,$73.48,18095110,$73.14,$74.195,$72.56
05/05/2025,$73.85,16070390,$73.35,$74.8851,$73.04
05/02/2025,$73.80,18347420,$73.00,$74.16,$72.87
05/01/2025,$71.81,19672470,$70.755,$72.47,$70.43
04/30/2025,$71.01,23952980,$69.67,$71.41,$69.33
04/29/2025,$71.10,24563550,$68.95,$71.34,$68.95
04/28/2025,$69.43,16694080,$69.81,$70.56,$68.67
04/25/2025,$69.73,17775910,$69.065,$70.195,$68.995
04/24/2025,$69.56,18420880,$67.70,$69.845,$67.50
04/23/2025,$67.94,20678780,$67.435,$69.50,$67.435
04/22/2025,$66.23,17536580,$64.71,$66.41,$64.71
04/21/2025,$64.01,17859090,$64.20,$65.16,$63.40
04/17/2025,$64.71,18961770,$64.38,$65.705,$64.065
04/16/2025,$63.98,17350990,$63.89,$64.9765,$63.37
04/15/2025,$64.54,20903300,$63.44,$65.42,$63.30
04/14/2025,$63.10,28057820,$63.16,$64.01,$62.395
04/11/2025,$62.51,33866990,$61.54,$63.6235,$59.65
04/10/2025,$63.11,29025950,$64.95,$65.00,$61.49
04/09/2025,$66.33,42744850,$60.64,$67.19,$59.43
04/08/2025,$62.08,27374200,$64.685,$65.63,$60.88
04/07/2025,$62.17,41305770,$60.69,$64.335,$58.42
04/04/2025,$60.98,31050750,$62.75,$63.57,$59.7101
04/03/2025,$65.67,25880260,$67.78,$68.72,$65.41
04/02/2025,$72.26,8854066,$70.56,$72.475,$70.22
04/01/2025,$71.31,10661040,$70.84,$71.63,$70.115
03/31/2025,$71.79,14855340,$69.90,$72.065,$69.56
03/28/2025,$70.69,13555190,$72.265,$72.55,$69.95
03/27/2025,$72.28,10457580,$73.57,$73.57,$72.22
03/26/2025,$73.47,10851950,$74.39,$75.375,$73.12
03/25/2025,$74.24,9499297,$74.47,$74.66,$73.83
03/24/2025,$74.28,10688940,$73.64,$74.53,$73.3406
03/21/2025,$72.52,32647130,$71.96,$72.775,$71.15
03/20/2025,$72.52,12388300,$71.84,$73.3651,$71.78
03/19/2025,$72.76,14453640,$71.14,$73.825,$70.83
03/18/2025,$71.11,11102080,$71.005,$71.48,$70.385
03/17/2025,$70.84,11184960,$70.47,$71.56,$70.083
03/14/2025,$70.85,15762260,$69.46,$71.065,$69.25
03/13/2025,$68.46,17471460,$69.63,$69.725,$68.31
03/12/2025,$68.93,18462330,$68.80,$69.49,$67.70
03/11/2025,$67.28,24310690,$66.825,$68.01,$65.785
03/10/2025,$66.78,27582870,$69.55,$69.55,$65.515
03/07/2025,$71.05,21256860,$72.25,$72.25,$68.10
03/06/2025,$72.65,19460420,$73.79,$73.89,$71.6288
03/05/2025,$74.16,20422010,$73.21,$74.63,$72.44
03/04/2025,$73.30,28858220,$75.47,$75.65,$71.34
03/03/2025,$77.03,18013400,$78.86,$78.98,$76.32
02/28/2025,$78.32,24698780,$77.04,$78.42,$76.5871
02/27/2025,$76.62,13744400,$76.99,$77.92,$76.375
02/26/2025,$76.45,13466830,$76.35,$77.77,$76.27
02/25/2025,$76.00,15683390,$77.87,$78.035,$74.93
02/24/2025,$77.22,12989710,$77.97,$78.52,$76.41
02/21/2025,$77.50,18205370,$78.91,$79.45,$77.33
02/20/2025,$78.63,14807120,$80.11,$80.28,$78.02
02/19/2025,$80.35,13917420,$80.32,$80.645,$79.97
02/18/2025,$80.78,15318290,$79.99,$80.95,$79.49
02/14/2025,$79.98,17521310,$79.23,$80.3399,$78.89
02/13/2025,$78.85,10093390,$79.43,$79.655,$78.605
02/12/2025,$79.25,13440500,$79.20,$79.72,$78.83
02/11/2025,$79.64,16683020,$78.77,$79.965,$77.81
02/10/2025,$79.10,18357360,$80.46,$80.57,$78.25
02/07/2025,$80.67,17951670,$81.27,$81.30,$79.09
02/06/2025,$81.42,16988870,$80.50,$81.50,$79.91
02/05/2025,$80.05,17930960,$79.66,$80.35,$79.18
02/04/2025,$79.47,14665240,$79.84,$79.85,$78.44
02/03/2025,$78.14,12395170,$77.23,$78.505,$77.02
01/31/2025,$78.80,14983820,$78.695,$79.2857,$78.31
01/30/2025,$78.82,11275960,$79.145,$79.24,$78.08
01/29/2025,$78.37,9175363,$77.75,$78.98,$77.61
01/28/2025,$77.88,11562000,$77.87,$78.15,$77.17
01/27/2025,$77.94,10637070,$77.40,$78.04,$76.89
01/24/2025,$77.32,10393300,$77.00,$77.65,$77.00
01/23/2025,$77.43,12981820,$77.71,$78.30,$77.025
01/22/2025,$77.54,11669520,$77.57,$77.81,$76.865
01/21/2025,$77.85,21057650,$77.69,$78.29,$77.33
01/17/2025,$77.08,20673730,$75.98,$77.25,$75.50
01/16/2025,$75.95,22897930,$75.85,$76.44,$74.685
01/15/2025,$75.95,33482930,$75.36,$76.82,$73.65
01/14/2025,$71.19,21909820,$71.46,$71.46,$70.29
01/13/2025,$70.53,10439790,$69.90,$70.61,$69.555
01/10/2025,$69.96,14466590,$70.90,$70.93,$69.34
01/08/2025,$71.57,16544700,$71.51,$72.08,$71.06
01/07/2025,$71.59,13521980,$72.975,$73.13,$71.51
01/06/2025,$72.03,15565650,$71.925,$73.25,$71.5301
01/03/2025,$71.31,9154750,$70.35,$71.42,$69.74
01/02/2025,$70.19,8303301,$70.48,$71.21,$69.76
12/31/2024,$70.24,7031615,$70.53,$70.9199,$70.06
12/30/2024,$70.41,8443769,$70.41,$70.795,$69.77
12/27/2024,$71.11,7219740,$71.18,$71.74,$70.63
12/26/2024,$71.76,6964333,$71.43,$71.84,$71.11
12/24/2024,$71.59,4442654,$70.67,$71.59,$70.54
12/23/2024,$70.54,11816970,$69.72,$70.69,$69.6176
12/20/2024,$70.34,50113370,$69.17,$71.035,$68.77
12/19/2024,$68.85,16444620,$69.40,$70.69,$68.67
12/18/2024,$68.76,21201200,$70.61,$71.50,$68.61
12/17/2024,$70.81,15595910,$71.047,$71.54,$70.38
12/16/2024,$71.98,24602530,$70.47,$72.29,$69.82
12/13/2024,$70.44,16794530,$70.853,$71.05,$70.02
12/12/2024,$70.80,12446710,$71.88,$72.06,$70.79
12/11/2024,$71.60,11867430,$72.59,$72.92,$71.45
12/10/2024,$72.05,12277490,$73.50,$73.50,$71.90
12/09/2024,$72.62,15517500,$74.305,$74.55,$72.42
12/06/2024,$74.33,14798100,$73.99,$74.72,$73.73
12/05/2024,$73.66,17766740,$73.40,$74.61,$73.10
12/04/2024,$73.06,14301100,$74.05,$74.25,$72.71
12/03/2024,$74.14,15047860,$75.81,$75.85,$74.02
12/02/2024,$75.28,18274470,$76.95,$76.95,$74.80
11/29/2024,$76.17,9785038,$77.69,$78.04,$76.14
11/27/2024,$77.21,19793930,$77.37,$77.79,$76.425
11/26/2024,$77.35,19139090,$77.50,$78.13,$76.36
11/25/2024,$76.90,28636560,$76.20,$77.305,$75.965
11/22/2024,$75.96,14997400,$74.565,$76.08,$74.55
11/21/2024,$74.83,20068240,$73.935,$76.04,$73.935
11/20/2024,$73.58,14415360,$73.67,$73.78,$72.425
11/19/2024,$73.43,15412940,$73.62,$74.16,$73.13
11/18/2024,$74.09,18440130,$74.50,$74.70,$73.72
11/15/2024,$74.34,18836980,$73.00,$74.41,$72.89
11/14/2024,$72.80,13654820,$72.85,$73.47,$72.5101
11/13/2024,$72.77,18823340,$72.75,$73.96,$72.655
11/12/2024,$72.60,17848160,$72.775,$73.37,$72.11
11/11/2024,$72.56,17117840,$71.02,$73.25,$71.02
11/08/2024,$70.04,14270940,$70.005,$70.13,$69.36
11/07/2024,$69.82,18681170,$71.64,$71.67,$69.735
11/06/2024,$72.47,63689140,$73.30,$74.27,$69.95
11/05/2024,$64.07,13447220,$64.00,$64.50,$63.62
11/04/2024,$63.70,12607420,$64.56,$64.65,$63.05
11/01/2024,$64.68,13313940,$65.22,$65.58,$64.62
10/31/2024,$64.92,12963150,$65.10,$65.75,$64.625
10/30/2024,$65.41,16021700,$65.13,$66.395,$65.13
10/29/2024,$65.30,13205450,$65.49,$66.00,$65.24
10/28/2024,$65.61,16158900,$64.995,$65.745,$64.81
10/25/2024,$64.53,14855490,$65.845,$65.95,$64.245
10/24/2024,$65.43,18393320,$64.615,$65.57,$64.325
10/23/2024,$64.56,18380880,$64.77,$65.05,$63.86
10/22/2024,$64.81,26164890,$64.02,$65.2075,$64.00
10/21/2024,$64.02,15603360,$64.48,$64.685,$63.92
10/18/2024,$64.36,19234040,$64.41,$64.78,$63.825
10/17/2024,$64.38,15073500,$64.49,$64.715,$63.50
10/16/2024,$63.89,17412650,$63.235,$64.08,$63.12
10/15/2024,$63.03,24693400,$62.91,$63.82,$62.225
10/14/2024,$62.16,30758850,$61.27,$63.35,$60.94
10/11/2024,$60.99,37049240,$59.955,$61.72,$59.92
10/10/2024,$57.75,12743970,$57.72,$58.39,$57.35
10/09/2024,$57.54,12415300,$57.32,$57.725,$57.07
10/08/2024,$57.30,12073040,$58.28,$58.28,$57.27
10/07/2024,$57.16,11177800,$57.225,$57.63,$56.80
10/04/2024,$56.96,14594450,$55.99,$57.125,$55.98
10/03/2024,$54.98,8135347,$55.08,$55.21,$54.405
10/02/2024,$55.30,9007156,$55.33,$55.814,$54.92
10/01/2024,$55.39,11069400,$56.00,$56.03,$55.20
09/30/2024,$56.49,16286040,$55.66,$56.515,$55.48
09/27/2024,$55.90,13530440,$56.62,$56.62,$55.80
09/26/2024,$56.39,34463430,$54.035,$57.11,$53.315
09/25/2024,$53.61,10555710,$54.28,$54.33,$53.41
09/24/2024,$54.16,16365650,$55.12,$55.19,$53.79
09/23/2024,$55.11,14759260,$56.26,$56.52,$54.90
09/20/2024,$56.29,45276000,$55.35,$56.29,$54.875
09/19/2024,$55.80,21399030,$55.01,$56.005,$54.65
09/18/2024,$54.26,20108990,$54.46,$55.19,$54.10
09/17/2024,$54.51,15885200,$53.97,$55.065,$53.97
09/16/2024,$53.79,18066190,$52.81,$53.93,$52.81
09/13/2024,$52.78,24762030,$51.86,$53.035,$51.75
09/12/2024,$51.57,42605420,$53.73,$54.34,$50.22
09/11/2024,$53.73,17322040,$53.72,$53.86,$52.425
09/10/2024,$53.95,24649980,$56.00,$56.10,$53.38
09/09/2024,$54.59,17134810,$54.73,$55.08,$54.43
09/06/2024,$54.00,21853780,$56.68,$56.78,$53.69
09/05/2024,$56.86,18301040,$58.62,$58.68,$56.54
09/04/2024,$58.12,10985830,$58.49,$59.00,$57.72
09/03/2024,$58.37,15933590,$58.62,$58.945,$57.90
08/30/2024,$58.47,20377260,$57.45,$58.58,$57.38
08/29/2024,$57.35,9283465,$57.31,$57.77,$56.51
08/28/2024,$57.07,11905210,$56.06,$57.36,$56.03
08/27/2024,$56.26,7638523,$56.71,$56.92,$56.155
08/26/2024,$56.72,9478780,$57.02,$57.15,$56.535
08/23/2024,$56.70,17074410,$56.42,$57.395,$56.32
08/22/2024,$55.96,15683050,$55.70,$56.37,$55.66
08/21/2024,$55.46,13691710,$56.44,$56.45,$55.20
08/20/2024,$56.15,12533550,$56.03,$56.72,$55.92
08/19/2024,$56.45,12792850,$55.345,$56.46,$55.26
08/16/2024,$55.33,19173890,$54.78,$55.43,$54.61
08/15/2024,$54.57,16549360,$54.50,$55.17,$54.43
08/14/2024,$53.66,13217180,$53.03,$53.775,$52.72
08/13/2024,$52.87,12268570,$52.36,$52.96,$51.81
08/12/2024,$52.06,18090060,$52.91,$53.47,$51.675
08/09/2024,$52.76,11668980,$52.30,$52.83,$52.07
08/08/2024,$52.76,16176020,$52.97,$53.3182,$52.65
08/07/2024,$52.29,18407500,$53.15,$53.49,$52.15
08/06/2024,$52.36,18723460,$52.28,$52.96,$52.05
08/05/2024,$52.12,28594010,$51.30,$52.40,$50.15
08/02/2024,$53.26,27642570,$55.18,$55.57,$52.80
08/01/2024,$56.88,17752740,$59.26,$59.34,$56.515
07/31/2024,$59.34,11535810,$59.82,$60.12,$59.20
07/30/2024,$60.01,11503930,$60.46,$60.73,$59.885
07/29/2024,$59.59,8986171,$60.74,$60.83,$59.345
07/26/2024,$60.39,12538940,$59.85,$60.45,$59.57
07/25/2024,$59.70,14119570,$59.56,$60.73,$59.45
07/24/2024,$59.44,10777080,$59.77,$60.21,$59.37
07/23/2024,$59.67,10927820,$59.20,$59.905,$59.04
07/22/2024,$59.14,13638600,$59.26,$59.39,$58.54
