Date,RF_Daily
2020-10-19,3.569828922689311e-06
2020-10-20,3.7680587881006034e-06
2020-10-21,3.569828922689311e-06
2020-10-22,3.3715888765328828e-06
2020-10-23,3.2922899850795773e-06
2020-10-26,3.173338965822836e-06
2020-10-27,3.569828922689311e-06
2020-10-28,3.569828922689311e-06
2020-10-29,3.2922899850795773e-06
2020-10-30,3.2922899850795773e-06
2020-11-02,3.2922899850795773e-06
2020-11-03,3.569828922689311e-06
2020-11-04,3.2922899850795773e-06
2020-11-05,3.3715888765328828e-06
2020-11-06,3.2922899850795773e-06
2020-11-09,3.4905339767465904e-06
2020-11-10,3.569828922689311e-06
2020-11-11,3.569828922689311e-06
2020-11-12,3.3715888765328828e-06
2020-11-13,3.2922899850795773e-06
2020-11-16,2.975079506972733e-06
2020-11-17,3.173338965822836e-06
2020-11-18,2.975079506972733e-06
2020-11-19,2.3802411739382023e-06
2020-11-20,2.3009226801651295e-06
2020-11-23,2.77680986426887e-06
2020-11-24,3.173338965822836e-06
2020-11-25,3.173338965822836e-06
2020-11-27,2.8957727229439456e-06
2020-11-30,2.975079506972733e-06
2020-12-01,3.173338965822836e-06
2020-12-02,2.975079506972733e-06
2020-12-03,2.975079506972733e-06
2020-12-04,2.975079506972733e-06
2020-12-07,2.77680986426887e-06
2020-12-08,2.6974994506989702e-06
2020-12-09,2.77680986426887e-06
2020-12-10,2.77680986426887e-06
2020-12-11,2.5785303938707926e-06
2020-12-14,2.3802411739382023e-06
2020-12-15,2.77680986426887e-06
2020-12-16,2.975079506972733e-06
2020-12-17,3.173338965822836e-06
2020-12-18,3.173338965822836e-06
2020-12-21,3.0940364454945524e-06
2020-12-22,3.0940364454945524e-06
2020-12-23,2.975079506972733e-06
2020-12-24,2.975079506972733e-06
2020-12-28,3.173338965822836e-06
2020-12-29,3.569828922689311e-06
2020-12-30,2.77680986426887e-06
2020-12-31,2.5785303938707926e-06
2021-01-04,2.6974994506989702e-06
2021-01-05,3.0940364454945524e-06
2021-01-06,3.0940364454945524e-06
2021-01-07,3.173338965822836e-06
2021-01-08,3.173338965822836e-06
2021-01-11,3.173338965822836e-06
2021-01-12,3.173338965822836e-06
2021-01-13,3.173338965822836e-06
2021-01-14,2.975079506972733e-06
2021-01-15,2.975079506972733e-06
2021-01-19,2.8957727229439456e-06
2021-01-20,2.975079506972733e-06
2021-01-21,2.8957727229439456e-06
2021-01-22,2.77680986426887e-06
2021-01-25,2.77680986426887e-06
2021-01-26,2.6974994506989702e-06
2021-01-27,2.3802411739382023e-06
2021-01-28,2.1819420727986483e-06
2021-01-29,1.9043067214230547e-06
2021-02-01,1.9043067214230547e-06
2021-02-02,1.9836331246469996e-06
2021-02-03,1.586985431289989e-06
