ticker,R2,beta0_hat,se_beta0,t_beta0,p_beta0,beta1_hat,se_beta1,t_beta1,p_beta1,ci_lower_beta1,ci_upper_beta1,anova_F,anova_p,degrees_of_freedom,sum_sq,mean_sq
JPM,0.3753719552918908,0.0004373289701643741,0.00035697552933059096,1.22509509541022,0.22077055871716678,0.9068791427706933,0.0331147857428059,27.38592814141068,1.0807911229253189e-129,0.8419123487878301,0.9718459367535565,749.9890601665114,1.0807911229242781e-129,1,0.11923164729682625,0.11923164729682625
BAC,0.35812675114748627,0.0001565865067597652,0.0004036949651736871,0.38788322933974395,0.698168597312792,0.9881841238787742,0.03744870776505225,26.38766950460608,2.657389298927204e-122,0.9147147527889992,1.0616534949685492,696.309101884317,2.657389298926962e-122,1,0.1415690967854422,0.1415690967854422
WFC,0.3066356038847037,0.0006298509781499597,0.0004723370925453969,1.3334776965233235,0.18261842028939582,1.0293744140225318,0.043816285243281856,23.492964049944444,2.3423486000009712e-101,0.9434127049961317,1.1153361230489318,551.9193598519806,2.3423486000013798e-101,1,0.15361706220074048,0.15361706220074048
GS,0.4570375646501421,0.0005648225338567547,0.00036311545646860685,1.5554901995905162,0.12008290626917491,1.091758515091004,0.03368435523691972,32.411441674097496,1.0464135105544457e-167,1.0256743017091325,1.1578427284728756,1050.5015513934268,1.0464135105533313e-167,1,0.17280085717733776,0.17280085717733776
BLK,0.6122714321284299,-5.792978800962705e-05,0.00029285681332957424,-0.19780925480615066,0.8432265186106075,1.2060192109548447,0.027166821896490976,44.3930915272287,5.028076535761304e-259,1.1527215289155792,1.25931689299411,1970.746575344898,5.0280765357654945e-259,1,0.21086338229809928,0.21086338229809928
PLD,0.35609339651028227,-0.00025692219652067265,0.0003912838489669104,-0.6566133439931473,0.5115506189669083,0.9535714467841558,0.03629739228192326,26.271073122215757,1.9178484299413685e-121,0.8823608031517363,1.0247820904165754,690.1692829928074,1.9178484299404708e-121,1,0.13182542901684202,0.13182542901684202
AMT,0.12486184609748574,-0.000413481322120876,0.00043500301791933344,-0.9505251804886364,0.34202950261106224,0.5384676693009511,0.04035299495986558,13.343933203384339,4.5597270230682094e-38,0.4593004740030428,0.6176348645988594,178.06055333638312,4.5597270230659396e-38,1,0.042035090011842656,0.042035090011842656
SPG,0.3198596337028824,0.00038527203256973004,0.0004696093002180977,0.8204097158868033,0.41213924661097545,1.0553777339773944,0.04356324196426838,24.22633592887877,1.3868394568882967e-106,0.9699124621227188,1.1408430058320702,586.9153525388822,1.3868394568879596e-106,1,0.1614762188721858,0.1614762188721858
AVB,0.2833807349644004,-0.00014455922910377173,0.0003494743583680156,-0.4136475985787288,0.6792032787913852,0.7201899118126358,0.03241894065305523,22.215097017513546,2.1217657443963902e-92,0.6565882731093787,0.7837915505158929,493.510535497541,2.1217657443943917e-92,1,0.0751946226060548,0.0751946226060548
O,0.16774102444185324,-0.00025075132373046584,0.00032096616695380094,-0.7812391134874921,0.43481004337653895,0.4722157339940891,0.029774382208483666,15.859799564860152,9.5722772627642e-52,0.4138023663241558,0.5306291016640224,251.53324223753737,9.572277262764472e-52,1,0.032327611900592294,0.032327611900592294
